Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MC_self_title.started,[1.4852273670258],420.6483452380635,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.37084077997133, 45.95158576697577, 71.56790153402835, 96.38844126998447, 120.17051569197793, 146.96533368399832, 172.67110664898064, 198.48735402093735, 226.19921269302722, 253.29777715192176, 280.36894536192995, 306.93057267402764]",422.1439730380662,-1,-1,-1.0,-1,-1,-1.0
7,MM_self_title.started,[1.4881828770739958],771.2891002920223,"['1', '1', '1', '1', '1', '1', '1']","[51.46822209702805, 86.65644877194427, 125.07131883595139, 144.517014539917, 187.05222362303175, 231.5368329490302, 286.5700390979182]",772.7888341500657,-1,-1,-1.0,-1,-1,-1.0
9,MM_other_title.started,[1.4850854789838195],1123.5678944319952,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1']","[34.73545014404226, 39.43493033305276, 69.26744879502803, 83.00024025305174, 156.250297436025, 188.7327727630036, 221.2659149960382]",1125.501183180022,-1,-1,-1.0
11,MC_other_title.started,[1.4840696200262755],1477.330291070044,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[12.868375902064145, 34.21847029705532, 57.01850037102122, 78.08428405504674, 100.5502383490093, 120.93415879504755, 142.20000310603064, 169.18384876300115, 189.33383278700057, 213.83303048100788, 229.9329684090335, 254.36589760601055, 277.9324187859893]",1479.0625083770135,-1,-1,-1.0
14,MC_self_title.started,[1.4890675380593166],1839.3412324860687,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[26.03921395598445, 55.23933592799585, 82.48996625398286, 109.9050011599902, 142.11704905400984, 173.9219220150262, 206.5204742050264, 238.30405937402975, 268.41533868503757, 295.3486184410285]",1840.840919748065,-1,-1,-1.0,-1,-1,-1.0
16,MM_other_title.started,[1.484316918067634],2188.5363112980267,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[86.63426328299101, 99.4346656659618, 110.73549516603816, 152.16559496999253, 156.31747460202314, 203.69909664301667, 234.3810311750276, 257.1152709949529, 269.58330078294966, 276.83175899100024, 294.13182116893586, 298.88074069598224]",2190.269583438989
18,MM_self_title.started,[1.4852906489977613],2535.515793803963,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[28.289827693952248, 47.468303015921265, 73.31756252294872, 104.2732429309981, 117.56751593900844, 162.55068217997905, 210.46599037991837, 227.62016835296527, 243.58756523299962, 277.45318081998266, 299.8701083629858]",2537.0146165720653,-1,-1,-1.0,-1,-1,-1.0
20,MC_other_title.started,[1.4857432399876416],2880.727126047015,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.184997824020684, 46.602244504960254, 71.33501024800353, 93.7173166529974, 116.43489157396834, 140.60100265301298, 165.5838834819151, 188.45017630793154, 210.49899466196075, 231.34458891500253, 255.5826098920079, 276.58243201393634, 305.49770456994884]",2882.4768525790423
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
