Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.4843533458188176],412.8332721795887,"['1', '1', '1', '1']","[82.58464694675058, 172.30001743976027, 223.21209280006588, 253.42755993455648]",414.33668072894216,-1,-1,-1.0,-1,-1,-1.0
7,MC_other_title.started,[1.4846010282635689],760.2162720635533,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.394290001131594, 40.81067876890302, 69.6598685560748, 89.47655372042209, 106.95790050271899, 135.62645647022873, 187.72436108253896, 209.7087549176067, 235.99154007714242, 261.3737405044958, 280.540647723712, 298.9576901132241]",762.1520190872252,-1,-1,-1.0
9,MM_other_title.started,[1.5043252846226096],1098.6903068609536,-1,-1,-1.0,None,-1,1100.4571287687868,-1,-1,-1.0
11,MC_self_title.started,[1.4851711299270391],1439.2027014940977,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[4.5633200174197555, 35.03001275565475, 38.76377937570214, 71.81223190575838, 111.99509112536907, 136.35072655882686, 163.07897998392582, 176.44930651877075, 211.93226805794984, 236.78202351368964, 250.4437990039587, 266.97863377071917, 283.87676193378866, 300.7642212100327]",1440.7067838190123,-1,-1,-1.0,-1,-1,-1.0
14,MC_self_title.started,[1.4843713641166687],1783.096957296133,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[16.246693016961217, 31.768394998274744, 45.262993357144296, 59.84615551121533, 73.96314950287342, 104.63377383816987, 121.88298499863595, 187.39461260288954, 208.81122321914881, 228.38100900966674, 241.80999404750764, 255.06337302643806, 268.89822564926, 297.10945662576705]",1784.6022652136162,-1,-1,-1.0,-1,-1,-1.0
16,MM_self_title.started,[1.4905383381992579],2124.992297564633,"['1', '1', '1', '1', '1', '1', '1', '1']","[32.755465283058584, 86.77226876653731, 113.61703356355429, 139.25388215016574, 171.8996687969193, 186.6541766114533, 225.2824928611517, 277.8148647714406]",2126.4927584184334,-1,-1,-1.0,-1,-1,-1.0
18,MC_other_title.started,[1.4863932868465781],2465.704105529003,-1,-1,-1.0,-1,-1,-1.0,['1'],[154.9499281635508],2467.437986929901
20,MM_other_title.started,[1.5010341424494982],2797.5506668919697,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1']","[92.33146592602134, 115.91366086993366, 126.83077058196068, 159.22953054588288, 180.09640984237194, 238.19579030759633]",2799.303224322386
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
