Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,self_btn.keys,self_btn.rt,self_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_self_title.started,[1.5000763768330216],418.0256564673036,['1'],[129.91238764021546],419.5470720520243,-1,-1,-1.0,-1,-1,-1.0
7,MC_other_title.started,[1.4735121689736843],797.1714483164251,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.414191350340843, 46.280119012109935, 92.9294236311689, 115.76084341015667, 139.99496113602072, 160.32872588839382, 183.07892511039972, 205.8954266132787, 227.77687510848045, 250.4764569317922, 270.52722197491676]",799.092355475761,-1,-1,-1.0
9,MC_self_title.started,[1.4833925170823932],1166.9157202821225,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[24.385142927989364, 43.56801169086248, 64.41801135335118, 87.19441210199147, 105.74674178287387, 124.89591368474066, 143.99612230155617, 163.5949768833816, 181.42916215024889, 216.89962420240045, 234.58262461051345, 262.848406996578, 277.3996979435906, 292.59375715162605]",1168.4201154774055,-1,-1,-1.0,-1,-1,-1.0
11,MM_other_title.started,[1.489392670802772],1532.211339152418,-1,-1,-1.0,"['1', '1', '1']","[110.5499494029209, 146.26635859441012, 298.37868810631335]",1533.961498528719,-1,-1,-1.0
14,MC_other_title.started,[1.4902555914595723],1899.0063471561296,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.968997137621045, 39.30151922814548, 61.45151598658413, 81.2512420322746, 104.10043988656253, 125.20094828028232, 141.5010456526652, 161.91719231940806, 185.11594027560204, 204.73180698882788, 224.9158112294972, 248.54998691380024, 268.4651033850387, 290.4150264179334]",1900.7387692015616
16,MC_self_title.started,[1.4802279155701399],2306.555578410625,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[20.485245051793754, 45.989625855349004, 71.33914342243224, 92.85515552200377, 116.8548381710425, 139.06703491602093, 158.53772366512567, 179.33750699274242, 203.55397784896195, 225.34874364174902, 240.55478118546307, 265.7478387374431, 287.2182033630088, 305.035411872901]",2308.0504752881825,-1,-1,-1.0,-1,-1,-1.0
18,MM_other_title.started,[1.4842960461974144],2660.799933454022,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1']","[39.63008492253721, 77.945582090877, 168.71112325694412, 206.19481653440744, 257.3439452648163]",2662.533637650311
20,MM_self_title.started,[1.4860990829765797],3025.2405289988965,"['1', '1', '1', '1', '1', '1', '1', '1']","[57.95586373656988, 88.03452807944268, 129.75004066061229, 166.08824912831187, 194.73543074540794, 238.7484687808901, 263.2997919190675, 289.5819805189967]",3026.7408557944,-1,-1,-1.0,-1,-1,-1.0
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
