Index,blk_name,begin_scan_btn.rt,begin_scan_btn.started,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,self_btn.keys,self_btn.rt,self_btn.started,other_n_btn.keys,other_n_btn.rt,other_n_btn.started
1,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
5,MM_other_title.started,[1.4893386596813798],402.37939535919577,"['1', '1', '1', '1', '1', '1', '1', '1']","[34.81350226607174, 43.163725048303604, 111.24735902808607, 128.11298145819455, 162.16270650364459, 237.76115985866636, 280.66125292889774, 294.5938981641084]",404.3160131564364,-1,-1,-1.0,-1,-1,-1.0
7,MC_other_title.started,[1.4791200263425708],751.6451565176249,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[23.568496145308018, 46.90151883661747, 71.26745900139213, 93.4172983635217, 116.04975138790905, 140.20058801490813, 165.7166454056278, 189.34889827109873, 212.06531772948802, 231.1495727095753, 256.44842711184174, 271.1485346807167, 300.3134182775393]",753.3904046202078,-1,-1,-1.0,-1,-1,-1.0
9,MM_self_title.started,[1.4817205304279923],1102.7232457557693,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[9.302457424812019, 18.88545321673155, 32.502351708710194, 39.20204843301326, 52.35117698647082, 59.34002021793276, 74.13934087660164, 99.86869457084686, 112.43405856192112, 143.5338858999312, 168.58331478759646, 185.18377818726003, 209.83409418165684, 226.09912688005716, 240.33232691232115, 247.38258023187518, 266.27037847973406, 281.3152555646375]",1104.2182949203998,-1,-1,-1.0
11,MC_self_title.started,[1.4899998102337122],1467.8807716276497,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.68401838466525, 35.26787385717034, 49.95037733297795, 65.15551351290196, 80.23914532456547, 95.06673471536487, 109.77114179451019, 125.24886038340628, 140.06575535424054, 155.23082747589797, 170.2163095092401, 184.78770692832768, 201.63206197321415, 216.69857771508396, 228.66524307988584, 243.2810837375, 259.267406206578, 271.29771283548325, 287.1191059211269, 302.0478528961539]",1469.38116004318,-1,-1,-1.0
14,MM_other_title.started,[1.4858978670090437],1808.525722693652,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.351925808005035, 40.26904311031103, 48.450491236522794, 67.66817671433091, 83.3675929447636, 87.61785818450153, 112.6162324892357, 150.8488282058388, 155.7173330988735, 184.64975962042809, 189.04970709700137, 197.88268942385912, 214.11547159031034, 223.46552180778235, 237.68236010987312, 261.3981002671644, 286.297927679494]",1810.259242692031
16,MC_self_title.started,[1.4848660454154015],2152.9215297177434,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[15.73773617297411, 31.05612727534026, 45.7174781979993, 75.61710935086012, 89.8511775098741, 104.10526765976101, 119.23347953613847, 131.53385149873793, 149.20010061282665, 173.98866461403668, 185.78327473532408, 201.53284344356507, 215.74978542421013, 234.53713294956833, 247.60253122262657, 274.38631070032716, 287.06925827171654, 300.6647434802726]",2154.421389773488,-1,-1,-1.0
18,MM_self_title.started,[1.4896040372550488],2497.533968437463,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[6.918239121325314, 15.734301500953734, 26.98558379895985, 41.78437475580722, 58.500408574938774, 65.71796845458448, 86.7837727246806, 92.80005733016878, 108.06667550094426, 117.28874924127012, 136.73655430506915, 147.80001740902662, 153.24952557031065, 171.0826365230605, 185.41523867007345, 191.49842989537865, 198.06476526893675, 211.0028733946383, 224.5365043496713, 236.78627103287727, 245.06316462066025, 257.35268993582577, 265.28618632350117, 277.87962569948286, 294.43121169134974, 305.88557373266667]",2499.033954025246,-1,-1,-1.0
20,MC_other_title.started,[1.4811349138617516],2833.749942445196,-1,-1,-1.0,-1,-1,-1.0,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[21.060732696205378, 43.04603494517505, 62.29487561341375, 99.26165781542659, 131.41070282831788, 151.42707229964435, 169.9444578308612, 188.29366316646338, 203.30838454980403, 219.2095184745267, 241.8928609099239, 265.85897028725594, 283.6924070417881]",2835.4849277203903
23,Rest_title.started,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1,-1,-1.0
